1	89.90
2	89.90
3	90.30
4	90.70
5	90.10
6	90.40
7	89.80
8	90.00
9	89.90
10	90.00
11	89.90
12	89.90
13	90.30
14	90.50
15	90.60
16	90.70
17	90.90
18	90.60
19	90.40
20	90.40
21	90.40
22	90.40
23	90.30
24	90.50
25	90.40
26	90.30
27	90.20
28	90.10
29	89.80
30	89.70
31	89.70
32	89.60
33	89.50
34	89.50
35	89.60
36	89.40
37	89.40
38	89.30
39	89.10
40	89.10
41	88.80
42	88.60
43	88.40
44	88.30
45	88.20
46	88.00
47	87.90
48	87.90
49	87.60
50	87.90
51	87.90
52	87.80
53	87.60
54	87.40
55	87.30
56	87.20
57	87.20
58	87.30
59	87.30
60	87.30
61	87.30
62	87.30
63	87.10
64	87.10
65	86.70
66	86.40
67	86.40
68	86.30
69	86.20
70	85.90
71	85.90
72	85.80
73	85.70
74	85.60
75	85.60
76	85.60
77	85.50
78	85.20
79	85.10
80	85.00
81	84.80
82	84.60
83	84.50
84	84.30
85	84.20
86	84.10
87	83.90
88	83.80
89	83.80
90	83.80
91	83.60
92	83.40
93	83.40
94	83.30
95	83.30
96	83.20
97	82.80
98	82.70
99	82.80
100	82.60
101	82.70
102	82.50
103	82.40
104	82.10
105	81.80
106	81.80
107	81.80
108	81.80
109	81.70
110	81.50
111	81.30
112	80.90
113	80.80
114	80.70
115	80.50
116	80.40
117	79.90
118	79.80
119	79.70
120	79.70
121	79.10
122	79.00
123	78.60
124	78.50
125	78.50
126	78.40
127	78.50
128	78.30
129	78.20
130	78.10
131	78.20
132	78.10
